merge_key,style,rel_path,clip_similarity
dataset/girlish/girlish_1031.jpg,girlish,dataset/girlish/girlish_1031.jpg,0.30486852
dataset/retro/retro_40.jpg,retro,dataset/retro/retro_40.jpg,0.23143989
dataset/ethnic/ethnic_93.jpg,ethnic,dataset/ethnic/ethnic_93.jpg,0.25729978
dataset/kireime-casual/kireime-casual_415.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_415.jpg,0.27404022
dataset/kireime-casual/kireime-casual_76.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_76.jpg,0.26856446
dataset/fairy/fairy_188.jpg,fairy,dataset/fairy/fairy_188.jpg,0.33301097
dataset/natural/natural_12.jpg,natural,dataset/natural/natural_12.jpg,0.33271694
dataset/feminine/feminine_553.jpg,feminine,dataset/feminine/feminine_553.jpg,0.2841032
dataset/kireime-casual/kireime-casual_703.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_703.jpg,0.28878462
dataset/lolita/lolita_714.jpg,lolita,dataset/lolita/lolita_714.jpg,0.3004047
dataset/fairy/fairy_630.jpg,fairy,dataset/fairy/fairy_630.jpg,0.3182065
dataset/retro/retro_270.jpg,retro,dataset/retro/retro_270.jpg,0.33186713
dataset/feminine/feminine_402.jpg,feminine,dataset/feminine/feminine_402.jpg,0.32100525
dataset/lolita/lolita_841.jpg,lolita,dataset/lolita/lolita_841.jpg,0.31280363
dataset/lolita/lolita_644.jpg,lolita,dataset/lolita/lolita_644.jpg,0.23699525
dataset/ethnic/ethnic_794.jpg,ethnic,dataset/ethnic/ethnic_794.jpg,0.2840515
dataset/dressy/dressy_23.jpg,dressy,dataset/dressy/dressy_23.jpg,0.31635612
dataset/street/street_888.jpg,street,dataset/street/street_888.jpg,0.28820264
dataset/rock/rock_80.jpg,rock,dataset/rock/rock_80.jpg,0.32753652
dataset/street/street_654.jpg,street,dataset/street/street_654.jpg,0.3219959
dataset/street/street_944.jpg,street,dataset/street/street_944.jpg,0.3194239
dataset/street/street_602.jpg,street,dataset/street/street_602.jpg,0.33539677
dataset/gal/gal_105.jpg,gal,dataset/gal/gal_105.jpg,0.33022645
dataset/street/street_112.jpg,street,dataset/street/street_112.jpg,0.32244706
dataset/girlish/girlish_1000.jpg,girlish,dataset/girlish/girlish_1000.jpg,0.31641972
dataset/mode/mode_8.jpg,mode,dataset/mode/mode_8.jpg,0.2971918
