merge_key,style,clip_iqa_margin,clip_iqa_win
dataset/fairy/fairy_224.jpg,fairy,0.09956002235412598,1.0
dataset/gal/gal_489.jpg,gal,0.1019020527601242,1.0
dataset/street/street_981.jpg,street,0.09743459522724152,1.0
dataset/rock/rock_526.jpg,rock,0.04894174635410309,1.0
dataset/mode/mode_668.jpg,mode,0.12491562962532043,1.0
dataset/natural/natural_339.jpg,natural,0.06308664381504059,1.0
dataset/gal/gal_560.jpg,gal,0.1058204174041748,1.0
dataset/conservative/conservative_875.jpg,conservative,0.09013621509075165,1.0
dataset/ethnic/ethnic_754.jpg,ethnic,0.1932602971792221,1.0
dataset/rock/rock_553.jpg,rock,0.18550822138786316,1.0
dataset/retro/retro_10.jpg,retro,0.05917973816394806,0.0
dataset/girlish/girlish_337.jpg,girlish,0.03273819386959076,0.0
dataset/mode/mode_277.jpg,mode,0.14102330803871155,1.0
dataset/ethnic/ethnic_713.jpg,ethnic,0.10378962755203247,1.0
dataset/rock/rock_556.jpg,rock,0.09065252542495728,1.0
dataset/mode/mode_164.jpg,mode,0.08934703469276428,1.0
dataset/kireime-casual/kireime-casual_474.jpg,kireime-casual,0.08015033602714539,1.0
dataset/conservative/conservative_696.jpg,conservative,-0.0006251335144042969,0.0
dataset/mode/mode_708.jpg,mode,0.06844182312488556,1.0
dataset/conservative/conservative_713.jpg,conservative,0.0564827024936676,1.0
dataset/fairy/fairy_391.jpg,fairy,0.1344655603170395,1.0
dataset/rock/rock_600.jpg,rock,0.11049796640872955,1.0
dataset/mode/mode_389.jpg,mode,0.058611199259757996,1.0
dataset/street/street_790.jpg,street,0.0955607146024704,1.0
dataset/lolita/lolita_519.jpg,lolita,0.056864529848098755,1.0
dataset/ethnic/ethnic_324.jpg,ethnic,0.11472475528717041,1.0
dataset/dressy/dressy_728.jpg,dressy,0.09633739292621613,1.0
dataset/conservative/conservative_309.jpg,conservative,0.11096097528934479,1.0
dataset/natural/natural_732.jpg,natural,0.15440742671489716,1.0
dataset/fairy/fairy_791.jpg,fairy,0.12070490419864655,1.0
dataset/kireime-casual/kireime-casual_930.jpg,kireime-casual,0.10178369283676147,1.0
dataset/natural/natural_437.jpg,natural,0.131790891289711,1.0
dataset/ethnic/ethnic_711.jpg,ethnic,0.10053455829620361,1.0
dataset/kireime-casual/kireime-casual_205.jpg,kireime-casual,0.06451520323753357,1.0
dataset/retro/retro_688.jpg,retro,0.12675414979457855,1.0
dataset/retro/retro_440.jpg,retro,0.05361250042915344,1.0
dataset/retro/retro_366.jpg,retro,0.14148345589637756,1.0
dataset/ethnic/ethnic_276.jpg,ethnic,0.14813770353794098,1.0
dataset/conservative/conservative_762.jpg,conservative,0.06675375998020172,1.0
dataset/natural/natural_526.jpg,natural,0.07856403291225433,1.0
dataset/mode/mode_618.jpg,mode,0.11347533762454987,1.0
dataset/feminine/feminine_391.jpg,feminine,0.09164018929004669,1.0
dataset/kireime-casual/kireime-casual_218.jpg,kireime-casual,0.09526419639587402,1.0
dataset/gal/gal_297.jpg,gal,0.12983281910419464,1.0
dataset/mode/mode_930.jpg,mode,0.07726427912712097,1.0
dataset/natural/natural_288.jpg,natural,0.05040499567985535,1.0
dataset/feminine/feminine_476.jpg,feminine,0.07748734951019287,1.0
dataset/girlish/girlish_41.jpg,girlish,0.09323570132255554,1.0
dataset/dressy/dressy_289.jpg,dressy,0.09311601519584656,1.0
dataset/girlish/girlish_736.jpg,girlish,0.106917604804039,1.0
dataset/street/street_526.jpg,street,0.13273444771766663,1.0
dataset/fairy/fairy_157.jpg,fairy,0.17136801779270172,1.0
dataset/mode/mode_302.jpg,mode,0.09695690870285034,1.0
dataset/street/street_861.jpeg,street,0.1108628511428833,1.0
dataset/retro/retro_810.jpg,retro,0.08667264878749847,1.0
dataset/dressy/dressy_232.jpg,dressy,0.11776304244995117,1.0
dataset/kireime-casual/kireime-casual_762.jpg,kireime-casual,0.15921470522880554,1.0
dataset/mode/mode_287.jpg,mode,0.13106629252433777,1.0
dataset/rock/rock_405.jpg,rock,0.18609210848808289,1.0
